Filename,Sender Info,Addressee Info,input,predicted_sender,predicted_receiver
11_1486_11529.xml,Simon  Grynäus_1365,Heinrich  Bullinger_495,Greet everyone.,Simon  Grynäus_1365,everyone
11_1560_11603.xml,Johannes  Zwick_4079,Heinrich  Bullinger_495,"Ambrosius_8055 was seized by fever, but the lord restored him, and he salutes you very dutifully.",Ambrosius_8055,Heinrich  Bullinger_495
11_1592_11635.xml,Oswald  Myconius (Geißhüsler)_8418,Heinrich  Bullinger_495,"There was a certain man from Basil in Augusta a few days ago; he said that he had seen and greeted Christian_8464 and Conhart there, and they said that they were going straight to Tubingen.","Christian_8464, Conhart","Christian_8464, Conhart"
11_1514_11557.xml,Simon  Grynäus_1365,Heinrich  Bullinger_495,Salute all with honor.,Simon  Grynäus_1365,all
11_1529_11572.xml,Johannes  Comander_654,Heinrich  Bullinger_495,"Lord George Vögeli of Constance, who is now practicing his art at the Court, has also ordered to bestow upon you his most abundant greetings.",Lord George Vögeli of Constance,Heinrich  Bullinger_495
11_1544_11587.xml,Wolfgang  Köpffel_5565,Heinrich  Bullinger_495,"Greet all the brothers and lords, especially Bibliander_8171 and Pellican_8127.",Wolfgang  Köpffel_5565,"all the brothers and lords, especially Bibliander_8171, Pellican_8127"
11_1530_11573.xml,Simon  Grynäus_1365,Heinrich  Bullinger_495,Greet all the brothers in the Lord for me.,Simon  Grynäus_1365,all the brothers in the Lord
11_1524_11567.xml,"Johannes  Pistorius (Niddanus, Becker) d.Ä._9046",Heinrich  Bullinger_495,"Farewell in the Lord Jesus as happily as possible, dearest Bullinger, together with your whole household, and greet Leon Jud_1753, Caspar Megander_8412, Erasmus Faber_8437, Conrad Pellicanus_8127, Theodor Bibliander_8171 and the other ministers of the church of Zurich, my highly respected lords and brothers, most diligently in my name.","Johannes  Pistorius (Niddanus, Becker) d.Ä._9046","Leon Jud_1753, Caspar Megander_8412, Erasmus Faber_8437, Conrad Pellicanus_8127, Theodor Bibliander_8171, the other ministers of the church of Zurich"
11_1524_11567.xml,"Johannes  Pistorius (Niddanus, Becker) d.Ä._9046",Heinrich  Bullinger_495,"All my brothers and lords salute you, namely, sir Draconites_8331, Dionysius Melander_8413 and Anton Corvinus_4572.","all Johannes  Pistorius (Niddanus, Becker) d.Ä._9046 brothers and lords",Heinrich  Bullinger_495
11_1550_11593.xml,Heinrich  Bullinger_495,Simon  Grynäus_1365,Give my warm regards to Mr. Myconius_8418.,Heinrich  Bullinger_495,Mr. Myconius_8418
11_1454_11497.xml,Oswald  Myconius (Geißhüsler)_8418,Heinrich  Bullinger_495,"Grynęus_1365 greets you diligently in his writings, and you especially.",Grynus_1365,Heinrich  Bullinger_495
11_1513_11556.xml,Johannes  Draconites (Drach)_8331,Heinrich  Bullinger_495,"My brothers Antonius Corvinus_4572, Dionysius Melander_8413, Ioannes Pistorius_9046, who are learned and holy at Zurich, also greet you and all, you will bid them farewell with my words most lovingly.","Johannes  Draconites (Drach)_8331 brothers Antonius Corvinus_4572, Dionysius Melander_8413, Ioannes Pistorius_9046",Heinrich  Bullinger_495
11_1464_11507.xml,Heinrich  Bullinger_495,Hermann  Aquilomontanus_179,"More will be explained by Mr. Johannes Beckstein himself; for he heard our symmists disputing about this same matter, Mr. Leonem Iudae_1753, Gasparem Megandrum_8412, Erasmum Fabritium_8437, Conradum Pellicanum_8127, Theodorum Bibliandrum_8171 and the rest, who all send you their greetings.",Mr. Johannes Beckstein,"Mr. Leonem Iudae_1753, Gasparem Megandrum_8412, Erasmum Fabritium_8437, Conradum Pellicanum_8127, Theodorum Bibliandrum_8171"
11_1464_11507.xml,Heinrich  Bullinger_495,Hermann  Aquilomontanus_179,Greet the brothers.,Heinrich  Bullinger_495,the brothers
11_1464_11507.xml,Heinrich  Bullinger_495,Hermann  Aquilomontanus_179,And the brothers greet you.,the brothers,Hermann  Aquilomontanus_179
11_1526_11569.xml,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011",Heinrich  Bullinger_495,All your brothers send their greetings.,All Heinrich  Bullinger_495 brothers,Heinrich  Bullinger_495 brothers
11_1546_11589.xml,Johannes  Zwick_4079,Heinrich  Bullinger_495,Greetings.,Greetings,Greetings
11_1587_11630.xml,Richard  Hilles_1548,Heinrich  Bullinger_495,My wife sends her greetings to you; you shall also send the same greetings in my name.,Richard  Hilles_1548 wife,Heinrich  Bullinger_495
11_1531_11574.xml,Andreas  Bodenstein_4349,Heinrich  Bullinger_495,"I bid you to greet my teacher, Mr. Theodor_8171, Leon Iude_1753, Caspar_8412, Pellican_8127, and all the lords and brothers in general.",Andreas  Bodenstein_4349,"Andreas  Bodenstein_4349 teacher, Mr. Theodor_8171, Leon Iude_1753, Caspar_8412, Pellican_8127, all the lords and brothers in general"
11_1567_11610.xml,Johannes  Zwick_4079,Heinrich  Bullinger_495,Ambrosius_8055 and all the brothers send their greetings to you.,"Ambrosius_8055, all the brothers",Heinrich  Bullinger_495
11_1497_11540.xml,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011",Heinrich  Bullinger_495,"The very dutiful Mr. Draconites_8331, Corvinus_4572, Pistorius_9046 and Melander_8413 send their greetings.","Mr. Draconites_8331, Corvinus_4572, Pistorius_9046, Melander_8413","Mr. Draconites_8331, Corvinus_4572, Pistorius_9046, Melander_8413"
11_1507_11550.xml,<sender-id>48 Meier title: Räte_59,Heinrich  Bullinger _495,"Our friendly greetings, along with all honors, love and goodness, are first and foremost sent to the well-educated, devout, respected, wise, and especially dear gentlemen and good friends.",<sender-id>48 Meier title: Räte_59,"the well-educated, devout, respected, wise, and especially dear gentlemen and good friends"
11_1493_11536.xml,Johann Jakob  Wick (Vikius)_8461,Heinrich  Bullinger_495,"You will also greet your wife, mother and whole family most carefully.",Heinrich  Bullinger_495,"Heinrich  Bullinger_495 wife, mother and whole family"
11_1575_11618.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"But now, my more than beloved Bullinger, again and again farewell, with your most holy wife and excellent men Pellicano_8127, Leone_1753, Theodore_8171, Megander_8412 and the rest, who will all receive our warmest greetings and through whom you will help us in the Christian faith before the throne of grace.",Ambrosius  Blarer (Blaurer)_8055 more than beloved Bullinger,"Heinrich  Bullinger_495 most holy wife, excellent men Pellicano_8127, Leone_1753, Theodore_8171, Megander_8412, the rest"
11_1496_11539.xml,Martin  Frecht_1055,Heinrich  Bullinger_495,"He has brought along with him four theologians, among whom and myself included, is my very dear friend and respected brother Dionysius Melander_8413, who sends you his best regards.",Dionysius Melander_8413,Heinrich  Bullinger_495
11_1496_11539.xml,Martin  Frecht_1055,Heinrich  Bullinger_495,"Farewell along with all your companions, esteemed lords and brothers, especially Pellicanus_8127 and Leo_1753, and in the meantime if you have written to the honorable Gryneus_1365 in Basel</persName> and the eminent light of your Swiss Nation, Vadianus_8049 of St. Gallen, kindly extend them my cordial greetings and obedience.",Martin  Frecht_1055,"all Heinrich  Bullinger_495 companions, esteemed lords and brothers, Pellicanus_8127, Leo_1753, Vadianus_8049, Heinrich  Bullinger_495 Swiss Nation"
11_1562_11605.xml,Simprecht  Vogt_3481,Theodor  Bibliander (Buchmann) _8171,"My colleagues, Lingkius_8090 and Grubellius_5056 among others, send their greetings to you.","Simprecht  Vogt_3481 colleagues, Lingkius_8090, Grubellius_5056",Theodor  Bibliander (Buchmann) _8171
11_1584_11627.xml,Heinrich  Bullinger_495,Matthias  Erb_1010,"Leo_1753, Megander_8412 etc. greet you.","Leo_1753, Megander_8412",Matthias  Erb_1010
11_1481_11524.xml,Johannes  Zwick_4079,Heinrich  Bullinger_495,"Greet Pellican_8127 and Leo_1753 along with the other brothers diligently, especially your household.",Johannes  Zwick_4079,"Pellican_8127, Leo_1753, other brothers"
11_1590_11633.xml,Heinrich  Bullinger_495,Ambrosius  Blarer (Blaurer)_8055,"You will send my warm regards to your brother, my most venerable lord, and also to our dear friends the Zviccios, whom the Lord should comfort and keep safe together with you.",Ambrosius  Blarer (Blaurer)_8055,"Ambrosius  Blarer (Blaurer)_8055 brother, Heinrich  Bullinger_495 most venerable lord, Heinrich  Bullinger_495 dear friends the Zviccios"
11_1525_11568.xml,Johannes  Calvin_540,title: Pfarrer_49title: Lehrer_45,"All who are here, Philip_2095, Bucer_467 and the others, greet you.","Philip_2095, Bucer_467",title: Pfarrer_49title: Lehrer_45
11_1545_11588.xml,Joachim  Vadian (von Watt)_8049,Heinrich  Bullinger_495,"Farewell, and greet the college on my behalf.",Joachim  Vadian (von Watt)_8049,the college
11_1532_11575.xml,Dionysius  Melander (Schwarzmann) d.J._8128,Heinrich  Bullinger_495,"Our esteemed Doctor Draconites_8331 will respond on behalf of us all to the eminent and dear men, the ministers of the Church of Zurich, whom you will greet most courteously in my name, and ask that they consider me recommended.",Dionysius  Melander (Schwarzmann) d.J._8128,Doctor Draconites_8331
11_1487_11530.xml,Heinrich  Bullinger_495,Oswald  Myconius (Geißhüsler)_8418,"Therefore, greet Christopher_1227 and console him.",Heinrich  Bullinger_495,Christopher_1227
11_1499_11542.xml,"Johannes  Pistorius (Niddanus, Becker) d.Ä._9046",Heinrich  Bullinger_495,"Dionisius Melander_8413 greets you and we earnestly beg that you greet Bibliander_8171, Pellican_8127 and all the fellow members of the Zurich church in our name.",Dionisius Melander_8413,"Heinrich  Bullinger_495, Bibliander_8171, Pellican_8127, all the fellow members of the Zurich church"
11_1499_11542.xml,"Johannes  Pistorius (Niddanus, Becker) d.Ä._9046",Heinrich  Bullinger_495,D. Draconites_8331 also commanded me to greet you very respectfully in his name.,D. Draconites_8331,Heinrich  Bullinger_495
11_1557_11600.xml,Hermann  Aquilomontanus_179,Heinrich  Bullinger_495,"Farewell with these few words, together with your fellow soldiers, whom you will diligently greet for all our brothers.",Hermann  Aquilomontanus_179,"Heinrich  Bullinger_495 fellow soldiers, all Hermann  Aquilomontanus_179 brothers"
11_1557_11600.xml,Hermann  Aquilomontanus_179,Heinrich  Bullinger_495,"John Bekesteyn_18147 salutes you, who counts among God's greatest gifts having seen your brotherhood and order.",John Bekesteyn_18147,Heinrich  Bullinger_495
11_1451_11494.xml,Johannes  Comander_654,Heinrich  Bullinger_495,"My brothers, John Blasius and Nicholas Balingius, send you many greetings, praying with me that you would deign to make us more certain about the Worms convention and its actions.","John Blasius, Nicholas Balingius",Heinrich  Bullinger_495
11_1504_11547.xml,Simon  Grynäus_1365,Heinrich  Bullinger_495,You will greet all friends.,Heinrich  Bullinger_495,all friends
11_1476_11519.xml,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011",Heinrich  Bullinger_495,My friends send you their greetings.,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011 friends",Heinrich  Bullinger_495
11_1476_11519.xml,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011",Heinrich  Bullinger_495,"You too, on my account, greet your mother and your wife most dutifully and all your children.","Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011","Heinrich  Bullinger_495 mother, Heinrich  Bullinger_495 wife, all Heinrich  Bullinger_495 children"
11_1510_11553.xml,Johannes  Zwick_4079,Heinrich  Bullinger_495,But greet all the brothers in my name.,Johannes  Zwick_4079 name,all the brothers
11_1473_11516.xml,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011",Heinrich  Bullinger_495,My companions greet you.,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011 companions",Heinrich  Bullinger_495
11_1473_11516.xml,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011",Heinrich  Bullinger_495,You will also greet your wife and mother with all your family on my behalf.,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011","Heinrich  Bullinger_495 wife, Heinrich  Bullinger_495 mother, all Heinrich  Bullinger_495 family"
11_1461_11504.xml,Johannes  Zwick_4079,Heinrich  Bullinger_495,Ambrosius_8055 sends you his best regards along with all the brothers.,Ambrosius_8055,"Heinrich  Bullinger_495, all the brothers"
11_1461_11504.xml,Johannes  Zwick_4079,Heinrich  Bullinger_495,"Give my regards most dutifully to your wife and mother, and especially to the children.",Johannes  Zwick_4079,"Heinrich  Bullinger_495 wife, Heinrich  Bullinger_495 mother, the children"
11_1564_11607.xml,Johann Jakob  Wick (Vikius)_8461,Heinrich  Bullinger_495,"But you will say much greetings on my behalf to all, and that I pray for all things joyful for them.",Johann Jakob  Wick (Vikius)_8461,Heinrich  Bullinger_495
11_1588_11631.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,Greet your entire household along with all friends and consul Röstio.,Ambrosius  Blarer (Blaurer)_8055,"Heinrich  Bullinger_495 entire household, all friends, consul Röstio"
11_1588_11631.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"All of ours send you greetings, brother with both Zviccio.","Ambrosius  Blarer (Blaurer)_8055, brother, Zviccio","Heinrich  Bullinger_495, Zviccio"
11_1533_11576.xml,Heinrich  Bullinger_495,"Rudolf  Gwalther (Walter, Gualtherus, Walthart) d.Ä._8011",Greet the illustrious prince's speakers and beloved brothers in Constance and Ulm.,Heinrich  Bullinger_495,"the illustrious prince's speakers, beloved brothers in Constance and Ulm"
11_1571_11614.xml,Oswald  Myconius (Geißhüsler)_8418,Heinrich  Bullinger_495,"You will greet Leo_1753, Theodore_8171, everyone.",Heinrich  Bullinger_495,"Leo_1753, Theodore_8171, everyone"
11_1503_11546.xml,Wolfgang  Köpffel_5565,Heinrich  Bullinger_495,"Give my greetings to D. Bibliander, Pellican, Erasmus, Megander, and each and every distinguished person.",Wolfgang  Köpffel_5565,"D. Bibliander, Pellican, Erasmus, Megander, each and every distinguished person"
11_1474_11517.xml,Johannes  Comander_654,Heinrich  Bullinger_495,"Send my greetings to Pelican, Lion, and Ammianus in my words.",Johannes  Comander_654,"Pelican, Lion, Ammianus"
11_1492_11535.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"All of ours bid me to write greetings to you, especially my German brother Thomas_8178 with sister Margaret, and Zviccio_4079 asking you for your prayers' patronage at the throne of grace.",Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495
11_1458_11501.xml,Heinrich  Lüthi (Lucius)_8407,Heinrich  Bullinger_495,"To Lord Heinrich Bullinger, Heinrich Lutius sends his greetings.",Heinrich Lutius,Lord Heinrich Bullinger
11_1566_11609.xml,Christian  Hochholzer_1553,Heinrich  Bullinger_495,"You will send regards in my name, in the most obliging manner, to your wife who has deserved the best from me and to all your blessed offspring.",Heinrich  Bullinger_495,"Heinrich  Bullinger_495 wife, all Heinrich  Bullinger_495 blessed offspring"
11_1511_11554.xml,Johannes  Comander_654,Heinrich  Bullinger_495,"Greetings to you from my colleague Johannes Blasius, we likewise wish all brethren well.",Johannes Blasius,Heinrich  Bullinger_495
11_1472_11515.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"I had nearly forgotten what Capito_5565 wrote to me six days ago: ""Please send my regards to the people of Zurich, whom I honor and do not envy their holy and educated, even joyful success, nor do we regret our own labors.",Capito_5565: "Ambrosius  Blarer (Blaurer)_8055,Capito_5565 Ambrosius  Blarer (Blaurer)_8055 
11_1472_11515.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"Greet the distinguished and excellent men Pellicanus_8127, Leonem_1753, Theodorus_8171, Megandrum_8412 and the others, whom I most earnestly wish to be commended to the Lord's pious prayers.",Ambrosius  Blarer (Blaurer)_8055,"Pellicanus_8127, Leonem_1753, Theodorus_8171, Megandrum_8412, others"
11_1494_11537.xml,Johannes  Wolf_3988,Heinrich  Bullinger_495,"Please, greet your family, especially your wife and mother, whom I have always found to wish me well.",Johannes  Wolf_3988,"Heinrich  Bullinger_495 family, Heinrich  Bullinger_495 wife, Heinrich  Bullinger_495 mother"
11_1455_11498.xml,Heinrich  Bullinger_495,Johannes (Gian)  Travers_8451,You will greet Mr. Anthony Travers and other good men.,Johannes (Gian)  Travers_8451,"Mr. Anthony Travers, other good men"
11_1591_11634.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"Recommend us to the outstanding and most distinguished men, Mr. Conrado Pellicano_8127, Leon_1753, Theodore_8171, Megander_8412 and the other ministers of the Church; and above all, greet your wife and the whole household most carefully with my and my family's best wishes, and ask her to pray fervently to Christ our Saviour on our behalf.",Ambrosius  Blarer (Blaurer)_8055,"Heinrich  Bullinger_495 wife, the whole household, the outstanding and most distinguished men, Mr. Conrado Pellicano_8127, Leon_1753, Theodore_8171, Megander_8412, the other ministers of the Church"
11_1465_11508.xml,Heinrich  Bullinger_495,Johannes  Comander_654,You will greet the brothers.,Johannes  Comander_654,Johannes  Comander_654
11_1508_11551.xml,Gervasius  Schuler (Scholasticus)_8440,Heinrich  Bullinger_495,Greetings in my name and my wife's to you.,Gervasius  Schuler (Scholasticus)_8440 and Gervasius  Schuler (Scholasticus)_8440 wife's name,Heinrich  Bullinger_495
11_1508_11551.xml,Gervasius  Schuler (Scholasticus)_8440,Heinrich  Bullinger_495,"Greet Leo Iuda_1753, Pelicanus_8127, Bibliander_8171 and all the brothers.",Gervasius  Schuler (Scholasticus)_8440,"Leo Iuda_1753, Pelicanus_8127, Bibliander_8171, all the brothers"
11_1498_11541.xml,Joachim  Vadian (von Watt)_8049,Heinrich  Bullinger_495,Goodbye with all your people and ours; I especially wish to greet consul Roscius and my Lavater.,Joachim  Vadian (von Watt)_8049,"all Heinrich  Bullinger_495 people, Joachim  Vadian (von Watt)_8049 people"
12_1684_11729.xml,Heinrich  Bullinger_495,Richard  Hilles_1548,"Live and be well, together with your most chaste and holy wife. My wife, along with our children and the whole family, sends you many greetings.","Heinrich  Bullinger_495 wife, Heinrich  Bullinger_495 children and the whole family","Richard  Hilles_1548 most chaste and holy wife, Richard  Hilles_1548 children, the whole family"
12_1628_11671.xml,"Nikolaus  Pfister (Artopoeus, Baling)_8114",Heinrich  Bullinger_495,Comander and Blasius greet you.,"Comander, Blasius",Heinrich  Bullinger_495
12_1667_11710.xml,Heinrich  Bullinger_495,Ambrosius  Blarer (Blaurer)_8055,"Bibliander_8171, Megander_8412, Gvaltherus_8011, Erasmus Fabritius_8437, Pellicanus_8127 and the rest send their most dutiful regards to you.","Bibliander_8171, Megander_8412, Gvaltherus_8011, Erasmus Fabritius_8437, Pellicanus_8127",Ambrosius  Blarer (Blaurer)_8055
12_1702_11747.xml,Heinrich  Bullinger_495,Ambrosius  Blarer (Blaurer)_8055,You will greet your family and brothers.,Ambrosius  Blarer (Blaurer)_8055,"Ambrosius  Blarer (Blaurer)_8055 family, brothers"
12_1702_11747.xml,Heinrich  Bullinger_495,Ambrosius  Blarer (Blaurer)_8055,"Megander_8412, Pellicanus_8127, Bibliander_8171 and the others salute you.","Megander_8412, Pellicanus_8127, Bibliander_8171",Ambrosius  Blarer (Blaurer)_8055
12_1599_11642.xml,title: Pfarrer_49 title: Lehrer_45,title: Meier_48title: Räte_59,"Grace and peace through our Lord Jesus Christ, with the submission of our original greetings and willing services to your wisdom.",title: Pfarrer_49 title: Lehrer_45 original greetings,title: Meier_48title: Räte_59 wisdom
12_1607_11650.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"All of our friends greet you; you will most dutifully greet for us the most learned and best men, Pellican, Leo_1753, Theodore_8171, Megander_8412, and diligently recommend us to them.",All of Ambrosius  Blarer (Blaurer)_8055 friends,"Heinrich  Bullinger_495, Pellican, Leo_1753, Theodore_8171, Megander_8412"
12_1607_11650.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"You will fill my place with the best man and dearest brother and salute him more than lovingly on behalf of my brother and myself; when my responsibilities will allow, I will be thankful with all the diligence I can.",on behalf of Ambrosius  Blarer (Blaurer)_8055 brother and Ambrosius  Blarer (Blaurer)_8055,"Ambrosius  Blarer (Blaurer)_8055 brother, Ambrosius  Blarer (Blaurer)_8055"
12_1676_11720.xml,Benedikt  Euander_1039,Heinrich  Bullinger_495,"In my name, greet Pellican_8127, Megander_8412, Theodorus_8171 and all the men of your college, my lords and all Moecenates, I fervently wish them well.",Benedikt  Euander_1039,"Pellican_8127, Megander_8412, Theodorus_8171, all the men of Heinrich  Bullinger_495 college, Benedikt  Euander_1039 lords, all Moecenates"
12_1639_11682.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"Send my regards to my special favorite, dear Mayor Rösten_2816, his son and daughter-in-law, many services, goods and greetings.",Ambrosius  Blarer (Blaurer)_8055,"Mayor Rösten_2816, his son, daughter-in-law"
12_1651_11694.xml,Johannes  Zwick_4079,Heinrich  Bullinger_495,"Farewell, and greet your wife and your entire household most eagerly in my name.",Johannes  Zwick_4079 name,"Heinrich  Bullinger_495 wife, Heinrich  Bullinger_495 entire household"
12_1643_11686.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"Greet all fellow participants and administrators, especially Gualterus_8011, to whose letters, may he love me so, I was utterly unable to reply; indeed, my mind is ever more inflamed with love for this excellent youth, when I hear that he is arguing Christ's cause with so much faith and diligence, grace and happiness, even in his sermon.",Ambrosius  Blarer (Blaurer)_8055,Gualterus_8011
12_1673_11717.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"Your brother along with Conrad Zwick_4082, whose brother lives near the small town of Episcopicella, greet you and want to strongly commend themselves to you. Conrad Zwick, who has already asked once and again in his letters, wants me to write to you, beseeching you to commend him to the Lord in your sacred prayers.","Conrad Zwick_4082, Ambrosius  Blarer (Blaurer)_8055 brother",Heinrich  Bullinger_495
12_1673_11717.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,Greet all my brothers and friends for me.,Ambrosius  Blarer (Blaurer)_8055,"all Ambrosius  Blarer (Blaurer)_8055 brothers, friends"
12_1673_11717.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"Especially Gwalther_8011, the best friend, greet with my warmest words.",Ambrosius  Blarer (Blaurer)_8055,"Gwalther_8011, the best friend"
12_1687_11732.xml,Johannes  Calvin_540,Heinrich  Bullinger_495,"And I would not wish to ask only you in this matter, but also my other venerable brothers, to whom you will give my greetings.",Johannes  Calvin_540,Heinrich  Bullinger_495
12_1661_11704.xml,Heinrich  Bullinger_495,title: Schultheissen_65title: Räte_59,"Please, accept my best regards and keep Christoph, your new schoolmaster, in friendly and fatherly custody.",Heinrich  Bullinger_495,"Christoph, title: Schultheissen_65title: Räte_59 new schoolmaster"
12_1623_11666.xml,Ulrich (Huldrych)  Lieb (Amantius) _8483,Heinrich  Bullinger_495,Greet for us Theodore Bibliander_8171 and all the godly ones.,Ulrich (Huldrych)  Lieb (Amantius) _8483,"Theodore Bibliander_8171, all the godly ones"
12_1613_11656.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"May Pellicanus_8127, Theodorus_8171, Megander_8412, Fabritius_8437 and whatever other male friends are there greet you most courteously.",Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495
12_1658_11701.xml,Gervasius  Schuler (Scholasticus)_8440,Heinrich  Bullinger_495,"Greet him on my behalf and wish him all happiness on my behalf, and also wish it to his entire family.",Gervasius  Schuler (Scholasticus)_8440,he
12_1658_11701.xml,Gervasius  Schuler (Scholasticus)_8440,Heinrich  Bullinger_495,Funckius_1257 the consul bids you to be greeted profusely on my behalf.,Gervasius  Schuler (Scholasticus)_8440,Heinrich  Bullinger_495
12_1598_11641.xml,title: Meier_48 title: Räte_59,Heinrich  Bullinger _495,"Our cordial greetings with a pledge of all honor, love and goodwill. ",title: Meier_48 title: Räte_59 cordial greetings,"all honor, love and goodwill"
12_1644_11687.xml,Oswald  Myconius (Geißhüsler)_8418,Heinrich  Bullinger_495,You will greet Theodore_8171. I will write to him (if God wills it) shortly.,Oswald  Myconius (Geißhüsler)_8418,Theodore_8171
12_1630_11673.xml,Oswald  Myconius (Geißhüsler)_8418,Heinrich  Bullinger_495,Salute all the brothers in my name.,Oswald  Myconius (Geißhüsler)_8418,all the brothers
12_1624_11667.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"May our much loved brothers Pelican_8127, Leo_1753, Theodore_8171, Megander_8412, and especially our best friend Gvaltherus_8011 be greeted, you will commend us to him as accurately as possible.",Heinrich  Bullinger_495,Heinrich  Bullinger_495
12_1624_11667.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,Also greet your chaste wife in strong health from us - with these words of mine and those of my little wife.,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495 chaste wife
12_1624_11667.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,The Zviccii_4079 with my German brother instruct me to send you greetings.,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495
12_1650_11693.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,All our people send you their greetings.,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495
